filing_uuid,lobbyist_name,registrant,client,covered_position
https://lda.gov/api/v1/filings/38aab9ec-4c60-42a8-a44c-69f20c65b0b4/,ALLYSON KNOX,MICROSOFT CORPORATION,MICROSOFT CORPORATION,
https://lda.gov/api/v1/filings/38aab9ec-4c60-42a8-a44c-69f20c65b0b4/,FRED HUMPHRIES,MICROSOFT CORPORATION,MICROSOFT CORPORATION,
https://lda.gov/api/v1/filings/38aab9ec-4c60-42a8-a44c-69f20c65b0b4/,JAMES FARRELL,MICROSOFT CORPORATION,MICROSOFT CORPORATION,
https://lda.gov/api/v1/filings/38aab9ec-4c60-42a8-a44c-69f20c65b0b4/,JONATHAN SCHWANTES,MICROSOFT CORPORATION,MICROSOFT CORPORATION,
https://lda.gov/api/v1/filings/38aab9ec-4c60-42a8-a44c-69f20c65b0b4/,ANAIS CARMONA,MICROSOFT CORPORATION,MICROSOFT CORPORATION,
https://lda.gov/api/v1/filings/38aab9ec-4c60-42a8-a44c-69f20c65b0b4/,TYLER GRASSMEYER,MICROSOFT CORPORATION,MICROSOFT CORPORATION,
https://lda.gov/api/v1/filings/38aab9ec-4c60-42a8-a44c-69f20c65b0b4/,ROSEMARIE LAUGHLIN,MICROSOFT CORPORATION,MICROSOFT CORPORATION,
https://lda.gov/api/v1/filings/38aab9ec-4c60-42a8-a44c-69f20c65b0b4/,DANIEL LERNER,MICROSOFT CORPORATION,MICROSOFT CORPORATION,
https://lda.gov/api/v1/filings/38aab9ec-4c60-42a8-a44c-69f20c65b0b4/,PAULA BOYD,MICROSOFT CORPORATION,MICROSOFT CORPORATION,
https://lda.gov/api/v1/filings/38aab9ec-4c60-42a8-a44c-69f20c65b0b4/,PAUL CARON,MICROSOFT CORPORATION,MICROSOFT CORPORATION,
https://lda.gov/api/v1/filings/38aab9ec-4c60-42a8-a44c-69f20c65b0b4/,DANYELLE SOLOMON,MICROSOFT CORPORATION,MICROSOFT CORPORATION,
https://lda.gov/api/v1/filings/38aab9ec-4c60-42a8-a44c-69f20c65b0b4/,TOM ROESSER,MICROSOFT CORPORATION,MICROSOFT CORPORATION,
https://lda.gov/api/v1/filings/b4a7bfb1-4f3c-45d0-9330-acfa4ce83483/,BRITTAN SPECHT,MICHAEL BEST STRATEGIES LLC,MICROSOFT CORPORATION,
https://lda.gov/api/v1/filings/b4a7bfb1-4f3c-45d0-9330-acfa4ce83483/,PRESTON HILL,MICHAEL BEST STRATEGIES LLC,MICROSOFT CORPORATION,
https://lda.gov/api/v1/filings/b4a7bfb1-4f3c-45d0-9330-acfa4ce83483/,JASON YAWORSKE,MICHAEL BEST STRATEGIES LLC,MICROSOFT CORPORATION,
https://lda.gov/api/v1/filings/b4a7bfb1-4f3c-45d0-9330-acfa4ce83483/,ALEXANDER ANGELSON,MICHAEL BEST STRATEGIES LLC,MICROSOFT CORPORATION,
https://lda.gov/api/v1/filings/9191015e-fd19-408c-a1ae-7aa4edafbdcf/,ERIK HUEY,"PLATINUM ADVISORS DC, LLC",MICROSOFT CORP.,
https://lda.gov/api/v1/filings/9191015e-fd19-408c-a1ae-7aa4edafbdcf/,DANIEL SEPULVEDA,"PLATINUM ADVISORS DC, LLC",MICROSOFT CORP.,"Amb. and Dept. Asst. Sec. - US Department of State, Senior Adviser - Mo Cowan, Senior Adviser - Sen. John Kerry, Assistant USTR - USTR, Legislative Assistant - Sen. Barack Obama, Senior Legislative Assistant - Sen. Barbara Boxer"
https://lda.gov/api/v1/filings/9191015e-fd19-408c-a1ae-7aa4edafbdcf/,JESSICA AUNE,"PLATINUM ADVISORS DC, LLC",MICROSOFT CORP.,
https://lda.gov/api/v1/filings/9191015e-fd19-408c-a1ae-7aa4edafbdcf/,JUSTIN TOY,"PLATINUM ADVISORS DC, LLC",MICROSOFT CORP.,
https://lda.gov/api/v1/filings/2a9ea1da-25a9-4ee6-ac9d-af5b599dc335/,ED PAGANO,AKIN GUMP STRAUSS HAUER & FELD,MICROSOFT CORPORATION,
https://lda.gov/api/v1/filings/2a9ea1da-25a9-4ee6-ac9d-af5b599dc335/,VIRGIL MILLER,AKIN GUMP STRAUSS HAUER & FELD,MICROSOFT CORPORATION,
https://lda.gov/api/v1/filings/2a9ea1da-25a9-4ee6-ac9d-af5b599dc335/,REGINALD BABIN,AKIN GUMP STRAUSS HAUER & FELD,MICROSOFT CORPORATION,
https://lda.gov/api/v1/filings/2a9ea1da-25a9-4ee6-ac9d-af5b599dc335/,CHRISTOPHER TREANOR,AKIN GUMP STRAUSS HAUER & FELD,MICROSOFT CORPORATION,
https://lda.gov/api/v1/filings/7303326b-b0ce-422f-9c5f-4aae472d8f2a/,D'ARCY PHILPS,PENN HILL GROUP,MICROSOFT CORPORATION,
https://lda.gov/api/v1/filings/7303326b-b0ce-422f-9c5f-4aae472d8f2a/,JULIA BRICKFIELD,PENN HILL GROUP,MICROSOFT CORPORATION,
https://lda.gov/api/v1/filings/61427fd0-15c7-47dc-b040-d2afb8513c5b/,DAN DUKES,TRACTION STRATEGIC,MICROSOFT,Senate Republican Floor Assistant (2003-2005)
https://lda.gov/api/v1/filings/305f131b-97cc-4479-8e22-15647570a147/,JENNIFER STEWART,"STEWART STRATEGIES AND SOLUTIONS, LLC",MICROSOFT CORPORATION,
https://lda.gov/api/v1/filings/305f131b-97cc-4479-8e22-15647570a147/,EBONY SIMPSON,"STEWART STRATEGIES AND SOLUTIONS, LLC",MICROSOFT CORPORATION,
https://lda.gov/api/v1/filings/305f131b-97cc-4479-8e22-15647570a147/,CHONYA DAVIS-JOHNSON,"STEWART STRATEGIES AND SOLUTIONS, LLC",MICROSOFT CORPORATION,
https://lda.gov/api/v1/filings/bb5ec394-c3a8-46a9-b068-b4692cc953bb/,KEVIN YODER,"VENTURE GOVERNMENT STRATEGIES, LLC (FKA HOBART HALLAWAY & QUAYLE VENTURES, LLC)",MICROSOFT CORPORATION,
https://lda.gov/api/v1/filings/bb5ec394-c3a8-46a9-b068-b4692cc953bb/,ROBERT HOBART,"VENTURE GOVERNMENT STRATEGIES, LLC (FKA HOBART HALLAWAY & QUAYLE VENTURES, LLC)",MICROSOFT CORPORATION,
https://lda.gov/api/v1/filings/bb5ec394-c3a8-46a9-b068-b4692cc953bb/,HAMILTON BLOOM,"VENTURE GOVERNMENT STRATEGIES, LLC (FKA HOBART HALLAWAY & QUAYLE VENTURES, LLC)",MICROSOFT CORPORATION,
https://lda.gov/api/v1/filings/bb5ec394-c3a8-46a9-b068-b4692cc953bb/,WILL BREWSTER,"VENTURE GOVERNMENT STRATEGIES, LLC (FKA HOBART HALLAWAY & QUAYLE VENTURES, LLC)",MICROSOFT CORPORATION,
https://lda.gov/api/v1/filings/bb5ec394-c3a8-46a9-b068-b4692cc953bb/,CLAUDIA RYCHLIK,"VENTURE GOVERNMENT STRATEGIES, LLC (FKA HOBART HALLAWAY & QUAYLE VENTURES, LLC)",MICROSOFT CORPORATION,
https://lda.gov/api/v1/filings/450077dd-20e8-4a74-9291-b70818250409/,KELLIE DONNELLY,LOT SIXTEEN LLC,MICROSOFT CORPORATION,"Chief Counsel, U.S. Senate Committee on Energy & Natural Resources"
https://lda.gov/api/v1/filings/7ae59c3a-c80e-41ff-a147-135925fe3f55/,DANIEL GANS,"POLARIS GOVERNMENT RELATIONS, LLC",MICROSOFT CORPORATION,
https://lda.gov/api/v1/filings/7ae59c3a-c80e-41ff-a147-135925fe3f55/,BRYAN CUNNINGHAM,"POLARIS GOVERNMENT RELATIONS, LLC",MICROSOFT CORPORATION,
https://lda.gov/api/v1/filings/161e1f1e-fc10-41ad-8635-b5a38d7394e1/,MADISON ARCANGELI,"FORZA DC, LLC",MICROSOFT CORPORATION,
https://lda.gov/api/v1/filings/161e1f1e-fc10-41ad-8635-b5a38d7394e1/,KATY NAZARETOVA,"FORZA DC, LLC",MICROSOFT CORPORATION,
https://lda.gov/api/v1/filings/db13686e-4d63-4f8f-b35a-447a0f31fd90/,MENDA FIFE,"FIFESTRATEGIES, LLC",MICROSOFT CORPORATION,Professional Staff Member -- Senate Appropriations Committee; Legis. Asst. -- Sens. Kennedy & Feinstein and Rep. C. Brown; and LC and Mailroom Supervisor -- Senator Harkin
https://lda.gov/api/v1/filings/55036595-4efb-45ac-a5b2-51bf398b9009/,JOSEPH GIBSON,"THE GIBSON GROUP, LLC",MICROSOFT CORPORATION,"Counsel for Legislative & Intergovernmental Affairs Anti-Trust Division, DOJ 2001-2002; Chief Antitrust Counsel, House Judiciary Committee 1997-2001; Counsel, House Judiciary Committee 1995-1997"
https://lda.gov/api/v1/filings/2837e978-4559-4d8f-8ec6-b5960468568f/,INGRID DURAN,"D&P CREATIVE STRATEGIES, LLC",MICROSOFT CORPORATION,St. Assistant Banking Comm. LA Rep. Gene Green
https://lda.gov/api/v1/filings/2837e978-4559-4d8f-8ec6-b5960468568f/,VANESSA VALDEZ,"D&P CREATIVE STRATEGIES, LLC",MICROSOFT CORPORATION,LC Senator John Ossoff
https://lda.gov/api/v1/filings/2837e978-4559-4d8f-8ec6-b5960468568f/,CATHERINE PINO,"D&P CREATIVE STRATEGIES, LLC",MICROSOFT CORPORATION,
https://lda.gov/api/v1/filings/2837e978-4559-4d8f-8ec6-b5960468568f/,KAREN SUAREZ JIMENEZ,"D&P CREATIVE STRATEGIES, LLC",MICROSOFT CORPORATION,
https://lda.gov/api/v1/filings/d77d1511-e7a8-42c1-8620-0668d5921899/,ERIK HUEY,"PLATINUM ADVISORS DC, LLC",MICROSOFT CORP.,
https://lda.gov/api/v1/filings/d77d1511-e7a8-42c1-8620-0668d5921899/,DANIEL SEPULVEDA,"PLATINUM ADVISORS DC, LLC",MICROSOFT CORP.,"Amb. and Dept. Asst. Sec. - US Department of State, Senior Adviser - Mo Cowan, Senior Adviser - Sen. John Kerry, Assistant USTR - USTR, Legislative Assistant - Sen. Barack Obama, Senior Legislative Assistant - Sen. Barbara Boxer"
https://lda.gov/api/v1/filings/d77d1511-e7a8-42c1-8620-0668d5921899/,JESSICA AUNE,"PLATINUM ADVISORS DC, LLC",MICROSOFT CORP.,
https://lda.gov/api/v1/filings/d77d1511-e7a8-42c1-8620-0668d5921899/,JUSTIN TOY,"PLATINUM ADVISORS DC, LLC",MICROSOFT CORP.,
https://lda.gov/api/v1/filings/affd45ff-7683-4fcc-8aab-62faaa8e08b6/,JEFFREY MARKEY,"ELEVATE GOVERNMENT AFFAIRS, LLC",MICROSOFT CORPORATION,"LD/Deputy Chief of Staff, Representative Doc Hastings."
https://lda.gov/api/v1/filings/affd45ff-7683-4fcc-8aab-62faaa8e08b6/,ROBERT CHAMBERLIN,"ELEVATE GOVERNMENT AFFAIRS, LLC",MICROSOFT CORPORATION,"Chief Counsel, US Senate Commerce Committee; Senior Counsel, US Senate Commerce Committee; Assistant Counsel, House Transportation and Infrastructure Committee."
